#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	662	0.051	302
0.077	632	0.101	335
0.127	596	0.152	373
0.178	555	0.203	414
0.228	512	0.254	457
0.279	470	0.304	499
0.330	430	0.355	538
0.381	393	0.405	571
0.431	364	0.457	598
0.482	343	0.507	616
0.532	330	0.558	624
0.583	329	0.608	623
0.634	334	0.659	614
0.685	351	0.709	594
0.735	376	0.761	567
0.786	407	0.811	532
0.836	445	0.862	494
0.888	486	0.912	452
0.938	528	0.963	411
0.989	570	1.014	371
1.039	607	1.065	335
1.090	641	1.115	304
1.141	667	1.166	282
1.192	685	1.216	268
1.242	692	1.268	265
1.293	691	1.318	270
1.343	679	1.369	285
1.394	658	1.419	308
1.445	630	1.470	339
1.496	594	1.520	376
1.546	555	1.572	416
1.597	513	1.622	457
1.647	471	1.673	498
1.699	431	1.723	536
1.749	395	1.774	568
1.800	366	1.826	595
1.850	344	1.876	613
1.901	332	1.927	621
1.952	328	1.977	621
2.003	334	2.028	612
2.053	350	2.079	593
2.104	374	2.130	567
2.154	406	2.180	535
2.206	443	2.231	497
2.256	483	2.281	456
2.307	524	2.332	415
2.357	566	2.383	377
2.408	603	2.434	341
2.458	636	2.484	311
2.510	662	2.535	288
2.560	679	2.585	275
2.611	687	2.637	271
2.661	685	2.687	276
2.712	674	2.738	291
2.763	654	2.788	313
2.814	626	2.839	343
2.864	592	2.890	378
2.915	553	2.941	417
2.965	513	2.991	457
3.017	472	3.042	498
3.067	432	3.092	535
3.118	397	3.143	567
3.168	368	3.194	591
3.219	347	3.245	609
3.269	334	3.295	616
3.321	331	3.346	618
3.371	336	3.396	609
3.422	351	3.448	591
3.472	374	3.498	567
3.523	404	3.549	534
3.574	440	3.599	498
3.625	480	3.650	459
3.675	520	3.701	419
3.726	561	3.752	381
3.776	598	3.802	347
3.828	631	3.853	318
3.878	657	3.903	295
3.929	674	3.954	282
3.979	683	4.005	277
4.030	682	4.056	282
4.080	671	4.106	296
4.132	651	4.157	317
4.182	625	4.207	346
4.233	591	4.259	380
4.283	553	4.309	417
4.334	513	4.360	457
4.385	473	4.410	495
4.436	433	4.461	532
4.486	399	4.512	563
4.537	370	4.563	589
4.587	349	4.613	605
4.639	337	4.664	613
4.689	333	4.714	615
4.740	338	4.766	607
4.790	352	4.816	590
4.841	374	4.867	565
4.891	404	4.917	534
4.943	439	4.968	499
4.993	478	5.018	461
5.044	518	5.070	422
5.094	557	5.120	385
5.145	593	5.171	351
5.196	626	5.221	322
5.247	651	5.272	301
5.297	669	5.323	288
5.348	677	5.374	283
5.398	677	5.424	287
5.450	667	5.475	301
5.500	649	5.525	321
5.551	623	5.577	350
5.601	591	5.627	382
5.652	554	5.678	419
5.702	515	5.728	457
5.754	475	5.779	495
5.804	437	5.829	530
5.855	402	5.881	560
5.905	373	5.931	585
5.956	352	5.982	602
6.007	339	6.032	610
6.058	335	6.083	611
6.108	339	6.134	603
6.159	353	6.185	588
6.209	375	6.235	564
6.261	403	6.286	534
6.311	438	6.336	500
6.362	475	6.388	462
6.412	515	6.438	425
6.463	554	6.489	388
6.513	590	6.539	356
6.565	622	6.590	328
6.615	648	6.640	306
6.666	665	6.692	293
6.716	673	6.742	288
6.767	673	6.793	292
6.818	664	6.843	305
6.869	646	6.894	325
