#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	608	0.051	458
0.076	627	0.102	462
0.126	638	0.152	468
0.178	642	0.203	473
0.228	637	0.253	479
0.279	625	0.305	483
0.329	605	0.355	488
0.380	579	0.406	491
0.432	548	0.456	494
0.482	514	0.507	495
0.533	479	0.558	495
0.583	445	0.609	494
0.634	412	0.659	492
0.685	383	0.710	486
0.736	361	0.760	482
0.786	345	0.812	475
0.837	336	0.862	469
0.887	335	0.913	462
0.938	341	0.963	456
0.989	355	1.014	450
1.040	376	1.064	445
1.090	403	1.116	441
1.141	434	1.166	438
1.191	468	1.217	437
1.243	502	1.267	438
1.293	535	1.318	441
1.344	566	1.369	444
1.394	593	1.420	450
1.445	614	1.470	456
1.496	628	1.521	464
1.547	635	1.571	472
1.597	634	1.623	479
1.648	625	1.673	487
1.698	609	1.724	495
1.749	587	1.774	499
1.800	560	1.825	504
1.851	528	1.875	506
1.901	495	1.927	507
1.952	461	1.977	506
2.002	429	2.028	502
2.054	400	2.078	496
2.104	375	2.129	490
2.155	357	2.180	482
2.205	346	2.231	473
2.256	340	2.281	464
2.307	343	2.332	455
2.358	354	2.382	446
2.408	371	2.434	439
2.459	394	2.484	432
2.509	423	2.535	429
2.560	453	2.585	427
2.611	486	2.636	427
2.662	519	2.686	429
2.712	549	2.738	433
2.763	577	2.788	440
2.813	600	2.839	448
2.865	616	2.889	458
2.915	626	2.940	468
2.966	628	2.991	478
3.016	623	3.042	488
3.067	610	3.092	498
3.118	592	3.143	506
3.169	568	3.193	512
3.219	540	3.245	516
3.270	509	3.295	518
3.320	477	3.346	517
3.372	445	3.396	513
3.422	416	3.447	507
3.473	391	3.498	499
3.523	371	3.549	490
3.574	357	3.600	479
3.624	349	3.650	468
3.676	349	3.701	456
3.726	356	3.751	445
3.777	369	3.803	435
3.827	389	3.853	427
3.878	413	3.904	421
3.929	441	3.954	417
3.980	472	4.005	416
4.030	503	4.056	418
4.081	533	4.107	422
4.131	561	4.157	430
4.183	584	4.208	439
4.233	603	4.258	450
4.284	614	4.309	462
4.334	620	4.360	475
4.385	619	4.411	487
4.435	610	4.461	499
4.487	595	4.512	510
4.537	574	4.562	518
4.588	549	4.614	524
4.638	521	4.664	527
4.689	492	4.715	527
4.740	461	4.765	525
4.791	432	4.816	519
4.841	406	4.867	511
4.892	386	4.918	499
4.942	370	4.968	487
4.994	360	5.019	474
5.044	357	5.069	460
5.095	360	5.120	446
5.145	370	5.171	434
5.196	386	5.222	423
5.246	407	5.272	415
5.298	432	5.323	409
5.348	460	5.373	406
5.399	489	5.425	407
5.449	518	5.475	411
5.500	545	5.526	418
5.551	568	5.576	428
5.602	588	5.627	440
5.652	601	5.678	454
5.703	609	5.729	469
5.753	611	5.779	484
5.805	606	5.830	498
5.855	594	5.880	511
5.906	578	5.932	523
5.956	556	5.982	531
6.007	531	6.033	535
6.057	503	6.083	537
6.109	476	6.134	535
6.159	448	6.184	529
6.210	423	6.236	521
6.260	401	6.286	510
6.311	384	6.337	496
6.362	372	6.387	482
6.413	367	6.438	465
6.463	367	6.489	450
6.514	373	6.540	435
6.564	385	6.590	422
6.616	403	6.641	411
6.666	425	6.691	402
6.717	450	6.743	399
6.767	476	6.793	398
6.818	503	6.844	401
6.868	529	6.894	407
6.920	553	6.945	417
6.970	573	6.995	430
7.021	588	7.047	445
7.071	597	7.097	461
7.122	602	7.148	478
7.173	600	7.198	494
7.224	592	7.249	510
7.274	578	7.300	523
7.325	560	7.351	534
7.375	538	7.401	541
7.427	514	7.452	545
7.477	488	7.502	544
7.528	462	7.554	540
7.578	438	7.604	532
7.629	416	7.655	521
7.679	399	7.705	507
7.731	386	7.756	490
7.781	378	7.806	473
7.832	375	7.858	456
7.882	379	7.908	438
7.933	387	7.959	423
7.984	402	8.009	410
8.035	420	8.060	400
8.085	442	8.111	393
8.136	465	8.162	390
8.186	490	8.212	392
8.238	515	8.263	398
8.288	537	8.313	407
8.339	557	8.365	419
8.389	573	8.415	435
8.440	584	8.466	452
8.490	591	8.516	471
8.542	591	8.567	489
8.592	586	8.617	507
8.643	577	8.669	523
8.693	562	8.719	535
8.744	543	8.770	545
8.795	522	8.820	551
8.846	499	8.871	552
8.896	475	8.922	550
8.947	452	8.973	542
8.997	431	9.023	532
9.049	413	9.074	518
9.099	400	9.124	501
9.150	390	9.176	482
9.200	387	9.226	463
9.251	386	9.277	443
9.301	393	9.327	426
9.353	403	9.378	411
9.403	418	9.428	398
9.454	437	9.480	389
9.504	458	9.530	385
9.555	480	9.581	384
9.606	502	9.631	388
9.657	523	9.682	397
9.708	542	9.733	409
9.758	558	9.784	424
9.809	570	9.834	443
9.860	578	9.885	462
9.911	581	9.935	482
9.961	579	9.987	501
10.012	572	10.037	520
10.062	560	10.088	534
10.114	545	10.138	547
10.164	527	10.189	554
10.215	507	10.239	558
10.265	486	10.291	557
10.316	465	10.341	552
10.366	445	10.392	541
10.418	428	10.442	528
10.468	414	10.493	511
10.519	404	10.544	492
10.569	398	10.595	472
10.620	397	10.645	451
10.671	400	10.696	432
10.722	407	10.746	414
10.772	419	10.798	399
10.823	434	10.848	387
10.873	452	10.899	381
10.925	471	10.949	378
10.975	491	11.000	381
11.026	510	11.050	387
11.076	528	11.102	399
11.127	544	11.152	414
11.177	556	11.203	432
11.229	564	11.253	452
11.279	570	11.304	473
11.330	569	11.355	494
11.380	565	11.406	514
11.431	557	11.456	532
11.482	545	11.507	545
11.533	530	11.557	556
11.583	513	11.609	562
11.634	495	11.659	563
11.684	476	11.710	559
11.736	458	11.760	551
11.786	442	11.811	538
11.837	428	11.861	521
11.887	417	11.913	503
11.938	411	11.963	481
11.988	407	12.014	460
12.040	408	12.064	439
12.090	413	12.115	419
12.141	422	12.166	402
12.191	434	12.217	389
12.242	448	12.267	379
12.293	465	12.318	374
12.344	482	12.368	374
12.394	499	12.420	380
12.445	515	12.470	389
12.495	530	12.521	404
12.547	541	12.571	422
12.597	551	12.622	442
12.648	557	12.672	464
12.698	558	12.724	485
12.749	556	12.775	507
12.799	551	12.825	526
12.851	542	12.876	542
12.901	530	12.926	555
12.952	516	12.978	563
13.002	500	13.028	567
13.053	485	13.079	565
13.104	469	13.129	558
13.155	455	13.180	546
13.205	441	13.231	532
13.256	431	13.282	513
13.306	423	13.332	492
13.358	420	13.383	469
13.408	419	13.433	447
13.459	422	13.485	426
13.509	427	13.535	407
13.560	437	13.586	391
13.610	448	13.636	380
13.662	461	13.687	372
13.712	476	13.737	371
13.763	490	13.789	374
13.813	505	13.839	382
13.864	518	13.890	395
13.915	529	13.940	411
13.966	537	13.991	432
14.016	544	14.042	453
14.067	547	14.093	476
14.117	547	14.143	498
14.169	543	14.194	519
