#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	456	0.051	584
0.076	445	0.102	561
0.126	435	0.152	535
0.178	424	0.203	505
0.228	416	0.253	475
0.279	410	0.305	445
0.329	407	0.355	418
0.380	406	0.406	395
0.430	407	0.456	377
0.482	411	0.507	363
0.532	417	0.557	356
0.583	425	0.609	355
0.633	434	0.659	361
0.684	444	0.710	374
0.735	456	0.760	392
0.786	466	0.811	414
0.836	478	0.862	441
0.887	486	0.913	469
0.937	494	0.963	499
0.989	500	1.014	528
1.039	503	1.064	555
1.090	504	1.116	578
1.140	503	1.166	596
1.191	499	1.217	608
1.241	493	1.267	615
1.293	485	1.318	616
1.343	476	1.368	609
1.394	465	1.420	597
1.444	455	1.470	578
1.495	445	1.521	555
1.546	434	1.571	530
1.597	425	1.622	501
1.648	417	1.673	472
1.698	412	1.724	443
1.749	409	1.774	418
1.800	408	1.825	395
1.851	409	1.875	378
1.901	413	1.927	365
1.952	419	1.977	359
2.002	426	2.028	360
2.054	435	2.078	367
2.104	447	2.129	379
2.155	456	2.179	397
2.205	466	2.231	420
2.256	476	2.281	445
2.306	485	2.332	474
2.358	493	2.382	502
2.408	497	2.433	530
2.459	500	2.484	555
2.509	502	2.535	578
2.560	500	2.585	595
2.611	496	2.636	607
2.662	490	2.686	612
2.712	483	2.738	612
2.763	475	2.788	605
2.813	465	2.839	591
2.865	454	2.889	574
2.915	444	2.940	551
2.966	435	2.990	525
3.016	426	3.042	497
3.067	419	3.092	469
3.117	414	3.143	441
3.169	411	3.193	417
3.219	410	3.244	396
3.270	412	3.295	380
3.320	415	3.346	368
3.371	421	3.396	363
3.422	428	3.447	364
3.473	437	3.497	372
3.523	447	3.549	384
3.574	457	3.599	402
3.624	466	3.650	425
3.676	476	3.700	450
3.726	484	3.751	477
3.777	491	3.801	505
3.827	496	3.853	532
3.878	498	3.903	556
3.928	499	3.954	577
3.980	497	4.004	593
4.030	494	4.055	604
4.081	488	4.106	608
4.131	481	4.157	606
4.182	472	4.207	599
4.233	463	4.258	586
4.284	453	4.308	568
4.334	444	4.360	545
4.385	435	4.410	521
4.435	427	4.461	493
4.487	421	4.511	466
4.537	416	4.562	440
4.588	413	4.612	417
4.638	413	4.664	396
4.689	414	4.715	381
4.739	418	4.765	370
4.791	424	4.816	367
4.841	431	4.866	368
4.892	439	4.918	376
4.942	448	4.968	390
4.993	457	5.019	407
5.044	466	5.069	430
5.095	475	5.120	455
5.145	482	5.171	481
5.196	489	5.222	508
5.246	493	5.272	534
5.298	496	5.323	557
5.348	497	5.373	576
5.399	494	5.425	591
5.449	491	5.475	602
5.500	486	5.526	605
5.550	479	5.576	602
5.602	471	5.627	595
5.652	462	5.677	581
5.703	453	5.729	563
5.753	444	5.779	540
5.804	435	5.830	516
5.855	428	5.880	490
5.906	422	5.931	464
5.956	418	5.982	438
6.007	415	6.033	416
6.057	415	6.083	397
6.109	417	6.134	383
6.159	420	6.184	374
6.210	426	6.236	370
6.260	432	6.286	373
6.311	440	6.337	381
6.361	449	6.387	395
6.413	458	6.438	412
6.463	466	6.488	435
6.514	474	6.540	459
6.564	481	6.590	485
6.615	487	6.641	510
6.666	491	6.691	535
6.717	493	6.742	558
6.767	494	6.793	576
6.818	492	6.844	589
6.868	488	6.894	598
6.920	483	6.945	601
6.970	477	6.995	598
7.021	469	7.047	590
7.071	461	7.097	576
7.122	453	7.148	558
7.172	444	7.198	536
7.224	437	7.249	512
7.274	429	7.299	486
7.325	424	7.351	461
7.375	419	7.401	437
7.426	417	7.452	416
7.477	417	7.502	398
7.528	419	7.553	385
7.578	422	7.604	376
7.629	428	7.655	373
7.679	434	7.705	377
7.731	441	7.756	385
7.781	450	7.806	400
7.832	458	7.858	417
7.882	466	7.908	439
7.933	474	7.959	463
7.984	480	8.009	488
8.035	486	8.060	512
8.085	490	8.110	537
8.136	491	8.162	557
8.186	492	8.212	574
8.237	489	8.263	588
8.288	486	8.313	595
8.339	481	8.364	597
8.389	475	8.415	593
8.440	467	8.466	585
8.490	459	8.516	571
8.542	452	8.567	553
8.592	443	8.617	532
8.643	436	8.669	508
8.693	430	8.719	483
8.744	425	8.770	459
8.795	421	8.820	436
8.846	420	8.871	415
8.896	420	8.921	399
8.947	421	8.973	387
8.997	425	9.023	379
9.048	430	9.074	377
9.099	435	9.124	382
9.150	443	9.175	390
9.201	451	9.226	405
9.251	458	9.277	422
9.302	466	9.327	443
9.353	473	9.378	466
9.404	479	9.428	491
9.454	484	9.480	515
9.505	487	9.530	537
9.555	489	9.581	558
9.607	489	9.631	573
9.657	486	9.682	586
9.708	483	9.732	592
9.758	478	9.784	593
9.809	473	9.834	589
9.859	466	9.885	580
9.911	458	9.935	566
9.961	451	9.986	548
10.012	444	10.037	527
10.062	437	10.088	504
10.113	431	10.138	480
10.164	426	10.189	456
10.215	423	10.239	435
10.265	422	10.291	416
10.316	422	10.341	400
10.366	424	10.392	389
10.418	427	10.442	383
10.468	431	10.493	382
10.519	438	10.544	386
10.569	444	10.595	395
10.620	451	10.645	409
10.670	458	10.696	427
10.722	466	10.746	448
10.772	472	10.797	470
10.823	478	10.848	494
10.873	482	10.899	517
10.924	485	10.949	539
10.975	486	11.000	557
11.026	486	11.050	572
11.076	485	11.102	583
11.127	481	11.152	589
11.177	477	11.203	590
11.229	471	11.253	585
11.279	465	11.304	576
11.330	457	11.355	561
11.380	450	11.406	544
11.431	444	11.456	523
11.481	438	11.507	501
11.533	432	11.557	477
11.583	428	11.608	455
11.634	425	11.659	434
11.684	424	11.710	415
11.735	424	11.760	402
11.786	426	11.811	391
11.837	429	11.861	386
11.887	433	11.913	386
11.938	439	11.963	390
