#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	364	0.050	486
0.076	378	0.101	486
0.127	397	0.151	486
0.177	419	0.203	486
0.228	443	0.253	485
0.278	467	0.304	486
0.330	491	0.354	486
0.380	513	0.405	486
0.431	532	0.455	486
0.481	548	0.507	486
0.532	559	0.557	486
0.582	565	0.608	486
0.634	565	0.658	486
0.684	561	0.709	486
0.735	551	0.760	486
0.785	536	0.811	486
0.836	518	0.861	486
0.887	496	0.912	486
0.938	473	0.962	486
0.988	449	1.014	486
1.039	426	1.064	486
1.089	403	1.115	486
1.141	385	1.165	485
1.191	370	1.216	486
1.242	359	1.266	486
1.292	353	1.318	486
1.343	353	1.369	486
1.393	358	1.419	486
1.445	368	1.470	486
1.495	383	1.520	487
1.546	401	1.572	486
1.596	422	1.622	486
1.647	446	1.673	486
1.698	469	1.723	486
1.749	493	1.774	486
1.799	514	1.825	486
1.850	533	1.876	486
1.900	548	1.926	486
1.952	557	1.977	487
2.002	563	2.027	486
2.053	563	2.079	486
2.103	557	2.129	485
2.154	547	2.180	486
2.204	532	2.230	486
2.256	514	2.281	486
2.306	492	2.331	486
2.357	469	2.383	486
2.407	446	2.433	486
2.458	424	2.484	486
2.509	402	2.534	486
2.560	384	2.585	486
2.610	370	2.636	486
2.661	360	2.687	486
2.711	356	2.737	486
2.763	356	2.788	485
2.813	361	2.838	485
2.864	372	2.890	485
2.914	387	2.940	486
2.965	405	2.991	486
3.015	426	3.041	486
3.067	449	3.092	486
3.117	472	3.142	486
3.168	494	3.194	486
3.218	515	3.244	486
3.269	533	3.295	486
3.320	547	3.345	486
3.371	556	3.396	486
3.421	560	3.447	486
3.472	560	3.498	487
3.522	554	3.548	486
3.574	543	3.599	486
3.624	528	3.649	486
3.675	510	3.701	486
3.725	488	3.751	485
3.776	466	3.802	485
3.826	443	3.852	486
3.878	421	3.903	486
3.928	401	3.953	486
3.979	384	4.005	485
4.029	371	4.055	486
4.080	362	4.106	486
4.131	358	4.156	486
4.182	359	4.207	486
4.232	365	4.258	486
4.283	376	4.309	486
4.333	391	4.359	486
4.385	409	4.410	486
4.435	430	4.460	486
4.486	452	4.512	486
4.536	475	4.562	486
4.587	496	4.613	486
4.637	517	4.663	486
4.689	533	4.714	486
4.739	546	4.764	486
4.790	554	4.816	486
4.840	558	4.866	486
4.891	556	4.917	486
4.942	550	4.967	486
4.993	539	5.018	486
5.043	524	5.069	486
5.094	505	5.120	486
5.144	485	5.170	486
5.196	463	5.221	486
5.246	440	5.271	486
5.297	419	5.323	486
5.347	400	5.373	486
5.398	384	5.424	486
5.448	371	5.474	486
5.500	363	5.525	485
5.550	360	5.575	485
5.601	362	5.627	486
5.651	368	5.677	486
5.702	380	5.728	486
5.753	395	5.778	486
5.804	413	5.829	486
5.855	434	5.880	486
5.905	456	5.931	486
5.956	477	5.981	485
6.007	498	6.032	486
6.058	517	6.082	486
6.108	533	6.134	486
6.159	544	6.184	486
6.209	553	6.235	486
6.261	555	6.285	486
6.311	553	6.336	486
6.362	546	6.386	486
6.412	536	6.438	486
6.463	520	6.488	486
6.513	502	6.539	486
6.565	481	6.589	486
6.615	460	6.640	486
6.666	438	6.691	486
6.716	417	6.742	486
6.767	399	6.792	486
6.818	384	6.843	486
6.869	372	6.893	486
6.919	365	6.945	486
6.970	362	6.995	486
7.020	365	7.046	486
7.072	373	7.096	486
7.122	383	7.147	486
7.173	399	7.197	486
7.223	417	7.249	487
7.274	436	7.299	486
7.324	458	7.350	486
7.376	479	7.400	486
7.426	500	7.451	486
7.477	518	7.502	486
7.527	533	7.553	486
7.578	544	7.603	486
7.629	551	7.654	486
7.680	553	7.704	486
7.730	550	7.756	486
7.781	543	7.806	486
7.831	532	7.857	486
7.883	516	7.907	486
7.933	498	7.958	486
7.984	477	8.008	486
8.034	457	8.060	486
8.085	435	8.110	486
8.135	416	8.161	486
8.187	398	8.211	486
8.237	383	8.262	486
8.288	373	8.313	486
8.338	366	8.364	486
8.389	365	8.414	486
8.440	368	8.465	486
8.491	375	8.515	486
8.541	387	8.567	486
8.592	402	8.617	486
8.642	420	8.668	486
8.694	440	8.718	486
8.744	461	8.769	486
8.795	482	8.819	485
8.845	501	8.871	486
8.896	518	8.922	486
8.946	533	8.972	486
8.998	543	9.023	485
9.048	549	9.073	486
9.099	550	9.125	486
9.149	547	9.175	486
9.200	540	9.226	486
9.251	528	9.276	486
9.302	512	9.327	486
9.352	494	9.378	486
9.403	474	9.429	486
9.453	454	9.479	486
9.505	434	9.530	486
9.555	414	9.580	486
9.606	398	9.632	486
9.656	384	9.682	486
9.707	374	9.733	486
9.757	368	9.783	486
9.809	367	9.834	486
9.859	371	9.884	486
9.910	379	9.936	485
9.960	391	9.986	486
10.011	406	10.037	485
10.062	424	10.087	486
10.113	444	10.138	486
10.163	464	10.189	486
10.214	484	10.240	486
10.264	503	10.290	486
10.316	519	10.341	486
10.366	532	10.391	486
10.417	542	10.443	486
10.467	547	10.493	485
10.518	548	10.544	486
10.568	544	10.594	486
10.620	536	10.645	486
10.670	524	10.695	486
10.721	509	10.747	486
10.771	490	10.797	486
10.822	471	10.848	486
10.873	451	10.898	486
10.924	431	10.949	486
10.974	413	11.000	486
11.025	397	11.051	486
11.075	384	11.101	486
11.127	375	11.152	486
11.177	370	11.202	486
11.228	370	11.254	486
11.278	374	11.304	486
11.329	382	11.355	486
11.379	394	11.405	486
11.431	410	11.456	486
11.481	427	11.506	486
11.532	446	11.558	486
11.582	467	11.608	486
11.633	486	11.659	486
11.684	504	11.709	486
11.735	520	11.760	486
11.785	532	11.811	485
