#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	352	13.230	487
13.256	352	13.281	488
13.307	357	13.332	487
13.357	367	13.383	487
13.408	381	13.433	488
13.459	398	13.484	488
13.510	417	13.534	488
13.560	440	13.585	487
13.611	462	13.636	487
13.661	483	13.687	487
13.712	503	13.737	488
13.763	520	13.788	487
13.814	534	13.838	488
13.864	543	13.890	488
13.915	549	13.940	488
13.965	548	13.991	487
14.017	543	14.041	488
14.067	533	14.092	488
14.118	520	14.143	487
14.168	503	14.194	488
14.219	483	14.245	487
14.270	462	14.295	487
14.321	441	14.346	487
14.371	419	14.396	487
14.422	400	14.448	487
14.472	384	14.498	488
14.523	370	14.549	487
14.574	361	14.599	488
14.625	356	14.650	488
14.675	357	14.701	488
14.726	361	14.752	488
14.776	371	14.802	487
14.828	384	14.853	488
14.878	401	14.903	487
14.929	420	14.955	488
14.979	441	15.005	487
15.030	462	15.056	488
15.081	482	15.106	487
15.132	502	15.157	488
15.182	518	15.207	488
15.233	531	15.259	487
15.283	540	15.309	487
15.334	544	15.360	488
15.385	544	15.410	488
15.436	539	15.461	487
15.486	529	15.512	487
15.537	516	15.563	487
15.587	499	15.613	488
15.639	481	15.664	486
15.689	460	15.714	488
15.740	440	15.766	487
15.790	419	15.816	488
15.841	401	15.867	488
15.892	385	15.917	488
15.943	373	15.968	487
15.993	365	16.019	487
16.044	361	16.070	488
16.094	361	16.120	487
16.145	366	16.171	488
16.196	375	16.221	488
16.247	388	16.272	488
16.297	404	16.323	487
16.348	423	16.374	488
16.398	442	16.424	487
16.450	463	16.475	488
16.500	483	16.525	487
16.551	501	16.577	487
16.601	516	16.627	488
16.652	528	16.678	487
16.703	536	16.728	488
16.754	540	16.779	488
16.804	540	16.830	487
16.855	534	16.881	487
16.905	526	16.931	488
16.956	513	16.982	488
17.007	497	17.032	488
17.058	478	17.083	488
17.108	459	17.134	487
17.159	439	17.185	488
17.209	420	17.235	488
17.261	402	17.286	487
17.311	388	17.336	487
17.362	376	17.388	488
17.412	368	17.438	487
17.463	365	17.489	487
17.514	366	17.539	487
17.565	371	17.590	487
17.615	379	17.641	487
17.666	392	17.692	488
17.716	407	17.742	487
17.767	425	17.793	487
17.818	444	17.843	487
17.869	464	17.894	488
17.919	482	17.945	487
17.970	499	17.996	487
18.020	514	18.046	488
18.072	525	18.097	487
18.122	532	18.147	488
18.173	536	18.199	487
18.223	535	18.249	488
18.274	530	18.300	488
18.325	522	18.350	488
18.376	508	18.401	487
18.426	493	18.452	487
18.477	475	18.503	488
18.527	457	18.553	488
18.579	438	18.604	487
18.629	420	18.654	488
18.680	403	18.705	488
18.730	390	18.756	487
18.781	378	18.807	487
18.831	371	18.857	487
18.883	368	18.908	488
18.933	369	18.958	487
18.984	374	19.010	488
19.034	383	19.060	487
19.085	395	19.111	488
19.136	410	19.161	488
19.187	427	19.212	488
19.237	445	19.263	487
19.288	464	19.314	487
19.338	482	19.364	488
19.390	498	19.415	487
19.440	512	19.465	488
19.491	523	19.516	488
19.541	529	19.567	488
19.592	533	19.618	488
19.642	532	19.668	488
19.694	527	19.719	488
19.744	517	19.769	487
19.795	505	19.821	488
19.845	490	19.871	488
19.896	474	19.922	487
19.947	456	19.972	487
19.998	438	20.023	487
20.048	420	20.074	488
20.099	404	20.125	488
20.149	391	20.175	487
20.201	381	20.226	488
20.251	374	20.276	488
20.302	372	20.327	488
20.352	373	20.378	487
20.403	378	20.429	488
20.453	386	20.479	487
20.505	398	20.530	488
20.555	413	20.580	487
20.606	430	20.632	487
20.656	447	20.682	488
20.707	464	20.733	488
20.758	481	20.783	488
20.809	497	20.834	487
20.859	510	20.885	487
20.910	520	20.936	487
20.960	526	20.986	488
21.012	529	21.037	487
21.062	528	21.087	487
21.113	522	21.139	488
21.163	514	21.189	487
21.214	502	21.240	488
21.264	488	21.290	487
21.316	471	21.341	488
21.366	454	21.391	487
21.417	438	21.443	488
21.467	421	21.493	487
21.518	406	21.544	488
21.569	393	21.594	487
21.620	384	21.645	488
21.670	377	21.696	488
21.721	375	21.747	487
21.771	376	21.797	487
21.823	382	21.848	487
21.873	390	21.898	488
21.924	401	21.950	487
21.974	416	22.000	488
22.025	432	22.051	487
22.075	448	22.101	488
22.127	465	22.152	487
22.177	481	22.202	488
22.228	495	22.254	487
22.278	508	22.304	488
22.329	518	22.355	488
22.380	523	22.405	487
22.431	526	22.456	487
22.481	524	22.507	488
22.532	519	22.558	488
22.582	510	22.608	487
22.634	499	22.659	487
22.684	485	22.709	487
22.735	470	22.761	488
22.785	453	22.811	487
22.836	437	22.862	488
22.886	421	22.912	487
22.938	407	22.963	487
22.988	395	23.013	488
23.039	386	23.065	487
23.089	380	23.115	487
23.140	378	23.166	488
23.191	380	23.216	488
23.242	385	23.267	488
23.292	393	23.318	487
23.343	404	23.369	487
23.393	418	23.419	488
23.445	433	23.470	487
23.495	450	23.520	487
23.546	465	23.572	487
23.596	481	23.622	488
23.647	495	23.673	488
23.697	506	23.723	487
23.749	515	23.774	488
23.800	521	23.824	488
23.850	522	23.876	488
23.901	521	23.926	487
23.951	516	23.977	487
24.003	507	24.027	487
24.053	496	24.078	488
24.104	483	24.129	488
24.154	468	24.180	488
