#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	508	13.231	686
13.256	506	13.282	678
13.307	502	13.332	658
13.358	498	13.383	628
13.409	493	13.433	591
13.459	488	13.484	547
13.510	483	13.535	499
13.560	478	13.586	449
13.611	473	13.636	402
13.662	469	13.687	357
13.713	465	13.737	318
13.763	462	13.789	287
13.814	460	13.839	266
13.864	459	13.890	257
13.916	459	13.940	259
13.966	459	13.991	271
14.017	461	14.042	294
14.067	463	14.093	326
14.118	466	14.144	366
14.169	469	14.194	410
14.220	474	14.245	458
14.270	479	14.295	507
14.321	483	14.347	553
14.371	489	14.397	595
14.422	494	14.448	631
14.473	498	14.498	658
14.524	502	14.549	676
14.574	505	14.600	682
14.625	507	14.651	679
14.675	509	14.701	665
14.727	509	14.752	641
14.777	509	14.802	608
14.828	507	14.854	568
14.878	504	14.904	522
14.929	501	14.955	475
14.980	496	15.005	427
15.031	491	15.056	382
15.081	485	15.106	341
15.132	479	15.158	307
15.182	473	15.208	281
15.233	467	15.259	267
15.284	462	15.309	263
15.335	458	15.360	269
15.385	454	15.411	287
15.436	452	15.462	313
15.486	451	15.512	349
15.538	450	15.563	389
15.588	453	15.613	434
15.639	456	15.665	480
15.689	461	15.715	528
15.740	467	15.766	571
15.791	474	15.816	610
15.842	482	15.867	640
15.892	491	15.918	662
15.943	498	15.969	673
15.993	505	16.019	675
16.044	512	16.070	667
16.095	517	16.120	649
16.146	520	16.171	621
16.196	523	16.222	586
16.247	523	16.273	544
16.297	521	16.323	498
16.349	517	16.374	452
16.399	512	16.424	406
16.450	505	16.476	365
16.500	496	16.526	329
16.551	488	16.577	299
16.602	478	16.627	279
16.653	469	16.678	272
16.703	459	16.729	273
16.754	451	16.780	284
16.804	444	16.830	306
16.855	439	16.881	336
16.906	436	16.931	373
16.957	435	16.982	413
17.007	437	17.033	459
17.058	441	17.084	503
17.108	447	17.134	547
17.160	455	17.185	586
17.210	464	17.235	619
17.261	475	17.287	645
17.311	487	17.337	661
17.362	498	17.388	666
17.413	510	17.438	664
17.464	520	17.489	652
17.514	528	17.540	629
17.565	534	17.591	599
17.615	538	17.641	562
17.666	539	17.692	520
17.717	537	17.742	476
17.768	533	17.793	433
17.818	526	17.844	391
17.869	516	17.895	353
17.919	505	17.945	321
17.971	492	17.996	298
18.021	478	18.046	283
18.072	465	18.098	281
18.122	452	18.148	286
18.173	441	18.199	302
18.224	431	18.249	326
18.275	424	18.300	358
18.325	420	18.351	395
18.376	419	18.402	437
18.426	421	18.452	479
18.478	426	18.503	522
18.528	435	18.553	562
18.579	445	18.604	597
18.629	459	18.655	625
18.680	473	18.706	646
18.730	489	18.756	654
18.782	504	18.807	657
18.832	518	18.857	651
18.883	531	18.909	633
18.933	542	18.959	608
18.984	550	19.010	576
19.035	554	19.060	538
19.086	555	19.111	497
19.136	553	19.162	455
19.187	545	19.213	414
19.237	536	19.263	376
19.289	524	19.314	344
19.339	509	19.364	318
19.390	493	19.415	300
19.440	475	19.466	292
19.491	458	19.517	292
19.541	442	19.567	303
19.593	428	19.618	322
19.643	416	19.668	348
19.694	408	19.720	381
19.744	404	19.770	418
19.795	403	19.821	458
19.846	407	19.871	499
19.897	414	19.922	538
19.947	426	19.973	573
19.998	440	20.024	604
20.048	458	20.074	627
20.100	476	20.125	641
20.150	495	20.175	645
20.201	514	20.226	645
20.251	531	20.277	632
20.302	546	20.328	614
20.352	557	20.378	586
20.404	566	20.429	553
20.454	570	20.479	516
20.505	570	20.531	477
20.555	564	20.581	437
20.606	555	20.632	401
20.657	542	20.682	367
20.708	527	20.733	339
20.758	508	20.784	319
20.809	488	20.835	307
20.859	467	20.885	304
20.911	447	20.936	308
20.961	429	20.986	322
21.012	413	21.038	343
21.062	401	21.088	371
21.113	392	21.139	403
21.163	389	21.189	440
21.215	390	21.240	477
21.265	396	21.290	514
21.316	406	21.342	549
21.366	421	21.392	580
21.417	440	21.443	605
21.468	460	21.493	622
21.519	482	21.544	632
21.569	504	21.595	634
21.620	526	21.646	628
21.670	545	21.696	613
21.722	561	21.747	591
21.772	574	21.797	564
21.823	582	21.849	531
21.873	585	21.899	496
21.924	582	21.950	459
21.974	574	22.000	424
22.026	562	22.051	391
22.076	545	22.101	363
22.127	525	22.153	339
22.177	503	22.203	325
22.228	479	22.254	317
22.279	456	22.304	317
22.330	433	22.355	326
22.380	414	22.406	343
22.431	396	22.457	365
22.481	385	22.507	393
22.533	378	22.558	425
22.583	376	22.608	459
22.634	379	22.660	494
22.684	389	22.710	528
22.735	402	22.761	557
22.785	421	22.811	583
22.837	443	22.862	602
22.887	467	22.912	615
22.938	491	22.964	620
22.988	516	23.014	617
23.039	540	23.065	609
23.091	560	23.115	593
23.141	577	23.166	568
23.192	589	23.217	542
23.242	596	23.268	511
23.293	597	23.318	478
23.344	591	23.369	445
23.395	580	23.419	414
23.445	565	23.471	386
23.496	544	23.521	362
23.546	521	23.572	345
23.598	495	23.622	335
23.648	468	23.673	330
23.699	442	23.723	335
23.749	418	23.775	346
23.800	397	23.825	363
23.850	381	23.876	386
23.902	370	23.926	413
23.952	364	23.977	444
24.003	365	24.028	475
24.053	372	24.079	506
24.104	384	24.129	535
24.155	402	24.180	560
24.206	424	24.230	581
24.256	450	24.282	595
24.307	477	24.332	604
24.357	505	24.383	605
24.409	532	24.433	601
24.459	556	24.484	588
24.510	577	24.534	572
24.560	593	24.586	548
24.611	603	24.636	522
24.661	607	24.687	493
24.713	606	24.737	464
24.763	596	24.788	435
24.814	582	24.839	408
24.864	563	24.890	385
24.915	539	24.940	367
24.966	511	24.991	354
25.017	483	25.041	347
25.067	454	25.093	347
25.118	427	25.143	354
25.168	402	25.194	366
25.220	381	25.244	384
25.270	366	25.295	406
25.321	357	25.345	432
25.371	354	25.397	460
25.422	357	25.447	487
25.472	368	25.498	514
25.524	384	25.548	538
25.574	406	25.599	559
25.625	432	25.650	575
25.675	460	25.701	585
25.726	490	25.751	590
25.777	520	25.802	589
25.828	548	25.852	581
25.878	573	25.904	569
25.929	593	25.954	551
25.979	607	26.005	530
26.031	616	26.055	505
26.081	617	26.106	479
26.132	611	26.156	454
26.182	599	26.208	429
26.233	580	26.259	407
26.283	557	26.309	389
26.335	529	26.360	374
26.385	499	26.410	366
26.436	468	26.462	362
26.486	438	26.512	365
26.537	410	26.563	373
26.588	385	26.613	387
26.639	367	26.664	404
26.689	353	26.715	425
26.740	346	26.766	447
26.790	347	26.816	472
26.842	354	26.867	495
26.892	368	26.917	518
26.943	388	26.969	537
26.993	414	27.019	554
27.044	442	27.070	565
27.094	474	27.120	572
27.146	505	27.171	574
27.196	536	27.221	571
27.247	564	27.273	562
27.297	588	27.323	549
27.348	607	27.374	532
27.399	619	27.424	513
27.450	625	27.475	491
27.500	623	27.526	469
27.551	612	27.577	448
27.601	597	27.627	428
27.653	575	27.678	409
27.703	548	27.728	396
27.754	517	27.780	385
27.804	485	27.830	381
27.855	452	27.881	379
27.905	421	27.931	384
27.957	394	27.982	393
28.007	370	28.032	405
28.058	353	28.084	422
28.108	343	28.134	440
28.159	339	28.185	460
28.210	342	28.235	480
28.261	354	28.286	499
28.311	372	28.337	518
28.362	396	28.388	533
28.412	424	28.438	544
28.464	456	28.489	553
28.514	489	28.539	557
28.565	522	28.591	557
28.615	553	28.641	552
28.666	580	28.692	543
28.716	603	28.742	531
28.768	619	28.793	517
28.818	628	28.843	499
28.869	630	28.895	481
28.919	624	28.945	463
28.970	611	28.996	446
