#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	371	0.050	463
0.076	394	0.101	458
0.127	422	0.151	451
0.177	455	0.203	447
0.228	488	0.253	442
0.278	522	0.304	440
0.330	553	0.354	438
0.380	582	0.405	439
0.431	605	0.456	441
0.481	623	0.507	444
0.532	633	0.557	449
0.583	636	0.608	455
0.634	631	0.658	461
0.684	619	0.710	468
0.735	599	0.760	477
0.785	575	0.811	482
0.837	545	0.861	489
0.887	514	0.912	493
0.938	480	0.962	497
0.988	448	1.014	499
1.039	417	1.064	499
1.089	390	1.115	497
1.141	370	1.165	493
1.191	355	1.216	488
1.242	348	1.267	481
1.292	347	1.318	474
1.343	354	1.368	466
1.394	368	1.419	457
1.445	388	1.469	450
1.495	414	1.521	443
1.546	444	1.571	437
1.596	476	1.622	433
1.648	508	1.672	430
1.698	540	1.723	430
1.749	568	1.773	430
1.799	593	1.825	434
1.850	612	1.876	439
1.900	624	1.926	447
1.952	630	1.977	455
2.002	628	2.027	464
2.053	619	2.079	473
2.103	602	2.129	481
2.154	581	2.180	490
2.205	554	2.230	497
2.256	525	2.281	503
2.306	492	2.332	507
2.357	462	2.383	508
2.407	431	2.433	507
2.459	405	2.484	505
2.509	383	2.534	499
2.560	366	2.586	492
2.610	356	2.636	483
2.661	353	2.687	475
2.711	357	2.737	464
2.763	367	2.788	454
2.813	384	2.838	445
2.864	407	2.890	436
2.914	434	2.940	429
2.965	463	2.991	423
3.016	494	3.041	421
3.067	525	3.092	420
3.117	553	3.143	422
3.168	578	3.194	427
3.218	599	3.244	434
3.270	613	3.295	443
3.320	622	3.345	452
3.371	622	3.397	463
3.421	616	3.447	474
3.472	603	3.498	486
3.522	585	3.548	495
3.574	561	3.599	505
3.624	535	3.649	511
3.675	505	3.701	516
3.725	475	3.751	517
3.776	446	3.802	517
3.827	418	3.852	514
3.878	396	3.903	507
3.928	378	3.954	499
3.979	366	4.005	489
4.029	360	4.055	477
4.081	361	4.106	465
4.131	369	4.156	453
4.182	382	4.208	441
4.232	402	4.258	431
4.283	426	4.309	422
4.333	453	4.359	416
4.385	482	4.410	412
4.435	511	4.460	412
4.486	539	4.512	413
4.536	563	4.562	418
4.587	585	4.613	426
4.638	601	4.663	436
4.689	611	4.714	448
4.739	615	4.765	460
4.790	611	4.816	474
4.840	602	4.866	487
4.892	587	4.917	499
4.942	567	4.967	509
4.993	542	5.019	518
5.043	516	5.069	523
5.094	487	5.120	527
5.144	459	5.170	525
5.196	433	5.221	523
5.246	410	5.271	516
5.297	391	5.323	507
5.347	377	5.373	495
5.398	370	5.424	482
5.449	368	5.474	468
5.500	374	5.525	454
5.550	384	5.576	440
5.601	400	5.627	428
5.651	420	5.677	417
5.703	445	5.728	409
5.753	472	5.778	404
5.804	499	5.830	403
5.854	526	5.880	404
5.905	550	5.931	410
5.955	572	5.981	418
6.007	588	6.032	429
6.057	600	6.082	441
6.108	605	6.134	456
6.158	605	6.184	471
6.209	598	6.235	486
6.261	586	6.285	499
6.311	569	6.336	513
6.362	549	6.387	523
6.412	524	6.438	530
6.463	498	6.488	534
6.514	472	6.539	534
6.565	446	6.589	531
6.615	424	6.641	524
6.666	405	6.691	515
6.716	391	6.742	503
6.768	381	6.792	489
6.818	377	6.843	472
6.869	379	6.893	457
6.919	387	6.945	441
6.970	400	6.995	427
7.020	417	7.046	414
7.072	439	7.096	404
7.122	462	7.147	399
7.173	487	7.198	396
7.223	512	7.249	396
7.274	537	7.299	401
7.325	557	7.350	409
7.376	574	7.400	420
7.426	587	7.452	435
7.477	595	7.502	450
7.527	597	7.553	467
7.579	593	7.603	483
7.629	583	7.654	499
7.680	570	7.704	513
7.730	552	7.756	526
7.781	530	7.806	534
7.831	507	7.857	540
7.883	483	7.907	541
7.933	459	7.958	539
7.984	437	8.009	533
8.034	419	8.060	524
8.085	403	8.110	511
8.136	393	8.161	495
8.187	387	8.211	479
8.237	387	8.263	461
8.288	392	8.313	444
8.338	403	8.364	427
8.390	417	8.414	414
8.440	435	8.465	401
8.491	456	8.515	393
8.541	479	8.567	389
8.592	502	8.617	389
8.642	524	8.668	393
8.694	544	8.718	400
8.744	561	8.769	412
8.795	574	8.820	426
8.845	583	8.871	442
8.896	586	8.921	460
8.947	585	8.972	479
8.998	578	9.022	496
9.048	568	9.074	512
9.099	552	9.124	527
9.149	534	9.175	538
9.201	514	9.225	544
9.251	492	9.276	548
9.302	470	9.326	546
9.352	450	9.378	541
9.403	431	9.429	533
9.453	416	9.479	520
9.505	405	9.530	504
9.555	398	9.580	487
9.606	396	9.632	468
9.656	399	9.682	449
9.707	407	9.733	431
9.758	418	9.783	414
9.809	434	9.834	401
9.859	451	9.885	391
9.910	472	9.936	385
9.960	492	9.986	382
10.012	513	10.037	385
10.062	531	10.087	392
10.113	548	10.139	403
10.163	561	10.189	417
10.214	571	10.240	434
10.264	576	10.290	453
10.316	576	10.341	472
10.366	571	10.391	491
10.417	563	10.443	510
10.467	551	10.493	525
10.518	536	10.544	539
10.569	518	10.594	547
10.620	499	10.645	553
10.670	480	10.696	553
10.721	461	10.747	549
10.771	444	10.797	541
10.823	429	10.848	528
10.873	418	10.898	513
10.924	410	10.950	495
10.974	407	11.000	474
11.025	408	11.051	455
11.075	413	11.101	435
11.127	422	11.152	418
11.177	435	11.202	402
11.228	450	11.254	390
11.278	467	11.304	382
11.329	485	11.355	378
11.380	503	11.405	379
11.431	520	11.456	385
11.481	535	11.507	396
11.532	549	11.558	409
11.582	558	11.608	426
11.634	564	11.659	445
11.684	566	11.709	465
11.735	563	11.761	485
11.785	557	11.811	505
11.836	547	11.862	522
11.886	535	11.912	537
11.938	520	11.963	548
11.988	504	12.013	555
12.039	487	12.065	558
12.089	470	12.115	555
12.140	455	12.166	548
12.191	441	12.216	537
12.242	431	12.267	522
12.292	423	12.318	503
12.343	418	12.369	483
12.393	418	12.419	462
12.445	421	12.470	442
12.495	427	12.520	422
12.546	437	12.572	405
12.596	449	12.622	391
12.647	464	12.673	381
12.698	480	12.723	376
12.749	495	12.774	375
12.799	511	12.824	379
12.850	525	12.876	387
12.900	537	12.926	401
12.951	545	12.977	416
13.002	552	13.027	436
13.053	555	13.078	456
13.103	554	13.129	478
13.154	550	13.180	498
13.204	542	13.230	518
13.256	532	13.281	535
13.306	520	13.331	548
13.357	507	13.383	556
13.407	492	13.433	560
13.458	478	13.484	559
13.509	464	13.534	554
13.560	452	13.585	543
13.610	442	13.635	530
13.661	434	13.687	512
13.711	430	13.737	492
13.762	428	13.788	471
13.813	430	13.838	449
13.864	435	13.889	428
13.915	442	13.940	410
13.965	452	13.991	393
14.016	463	14.041	383
14.067	476	14.092	375
14.118	489	14.142	372
14.168	503	14.194	374
14.219	515	14.244	381
14.269	526	14.295	393
14.321	534	14.345	409
14.371	541	14.396	427
14.422	544	14.446	448
14.472	544	14.498	470
14.523	541	14.548	492
14.573	535	14.599	512
14.625	528	14.649	530
14.675	518	14.700	544
14.726	508	14.751	556
14.776	495	14.802	561
14.827	484	14.852	563
14.878	472	14.903	559
14.929	461	14.953	550
14.979	453	15.005	537
15.030	446	15.055	520
15.080	441	15.106	501
15.132	439	15.156	479
15.182	440	15.207	458
15.233	443	15.258	436
15.283	449	15.309	416
15.334	456	15.359	399
15.384	466	15.410	385
15.436	475	15.460	376
15.486	486	15.511	371
15.537	497	15.562	372
15.587	507	15.613	377
15.638	516	15.663	387
15.689	523	15.714	401
15.740	529	15.764	419
15.790	532	15.816	439
15.841	533	15.866	461
15.891	532	15.917	483
15.943	527	15.967	505
15.993	522	16.018	524
16.044	515	16.069	541
16.094	506	16.120	553
16.145	497	16.170	561
16.195	487	16.221	564
16.247	478	16.271	562
16.297	469	16.322	555
16.348	462	16.373	543
16.398	456	16.424	528
16.449	452	16.474	509
16.500	450	16.525	489
16.551	451	16.575	466
16.601	452	16.627	444
16.652	456	16.677	423
16.702	462	16.728	405
16.754	469	16.778	389
16.804	476	16.829	378
16.855	485	16.880	372
16.905	493	16.931	370
16.956	501	16.982	374
17.006	508	17.032	382
17.058	514	17.083	395
17.108	518	17.133	411
17.159	521	17.185	431
17.209	522	17.235	452
17.260	521	17.286	475
17.311	518	17.336	496
17.362	515	17.387	517
17.412	509	17.438	534
17.463	503	17.489	548
17.513	495	17.539	558
17.565	489	17.590	562
17.615	482	17.640	564
17.666	475	17.692	558
17.716	470	17.742	548
17.767	465	17.793	534
17.818	462	17.843	517
17.869	461	17.894	497
17.919	460	17.944	475
17.970	462	17.996	453
18.020	465	18.046	432
18.071	469	18.097	412
18.122	474	18.147	395
18.173	479	18.198	383
18.223	485	18.249	374
18.274	491	18.300	371
18.324	497	18.350	372
18.376	502	18.401	379
18.426	506	18.451	390
18.477	509	18.503	405
18.527	511	18.553	423
18.578	512	18.604	444
18.629	510	18.654	466
18.680	509	18.705	488
18.730	506	18.755	509
18.781	503	18.807	527
18.831	498	18.857	543
18.882	493	18.908	554
18.933	488	18.958	560
18.984	483	19.009	562
19.034	480	19.060	560
19.085	476	19.111	552
19.135	473	19.161	540
19.187	471	19.212	524
19.237	471	19.262	504
19.288	471	19.314	484
19.338	472	19.364	462
19.389	474	19.415	440
19.440	477	19.465	420
19.491	480	19.516	403
19.541	484	19.566	389
19.592	487	19.618	379
19.642	491	19.668	373
19.693	494	19.719	373
19.744	497	19.769	377
19.795	499	19.820	387
19.845	501	19.871	400
19.896	501	19.922	417
19.946	501	19.972	436
19.998	501	20.023	458
20.048	498	20.073	479
20.099	497	20.125	500
20.149	495	20.175	519
20.200	491	20.226	535
20.251	489	20.276	548
20.302	486	20.327	557
