#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	349	0.051	487
0.077	371	0.101	487
0.127	397	0.153	488
0.178	426	0.203	487
0.228	455	0.254	488
0.280	485	0.304	487
0.330	512	0.355	487
0.381	537	0.406	487
0.431	557	0.457	487
0.482	571	0.507	487
0.533	581	0.558	487
0.584	582	0.608	487
0.634	578	0.660	487
0.685	568	0.710	487
0.735	552	0.761	487
0.787	531	0.811	487
0.837	506	0.862	488
0.888	479	0.912	487
0.938	450	0.964	487
0.989	421	1.014	487
1.039	394	1.065	487
1.091	370	1.115	487
1.141	349	1.166	487
1.192	335	1.217	486
1.242	326	1.268	487
1.293	324	1.318	487
1.344	328	1.369	487
1.395	338	1.419	486
1.445	354	1.471	487
1.496	375	1.521	487
1.546	401	1.572	488
1.598	428	1.622	488
1.648	457	1.673	487
1.699	484	1.723	488
1.749	512	1.775	488
1.800	535	1.826	488
1.850	554	1.876	487
1.902	567	1.927	488
1.952	576	1.977	487
2.003	577	2.029	487
2.053	572	2.079	487
2.104	562	2.130	487
2.155	546	2.180	487
2.206	526	2.231	487
2.256	501	2.282	487
2.307	474	2.333	488
2.357	447	2.383	487
2.409	420	2.434	487
2.459	394	2.484	487
2.510	372	2.536	487
2.560	354	2.586	487
2.611	341	2.637	487
2.661	333	2.687	487
2.713	332	2.738	487
2.763	336	2.788	487
2.814	346	2.840	487
2.864	362	2.890	487
2.915	381	2.941	487
2.966	404	2.991	487
3.017	430	3.042	487
3.067	457	3.093	487
3.118	483	3.144	488
3.168	509	3.194	487
3.220	531	3.245	488
3.270	548	3.295	487
3.321	562	3.347	488
3.371	569	3.397	487
3.422	571	3.448	488
3.472	566	3.498	487
3.524	557	3.549	488
3.574	541	3.599	487
3.625	522	3.651	487
3.675	498	3.701	487
3.726	473	3.752	487
3.777	446	3.802	488
3.828	420	3.853	487
3.878	396	3.904	487
3.929	374	3.955	487
3.979	357	4.005	487
4.031	345	4.056	487
4.081	338	4.106	487
4.132	337	4.158	487
4.182	342	4.208	487
4.233	352	4.259	487
4.283	368	4.309	488
4.335	387	4.360	488
4.385	409	4.410	487
4.436	433	4.462	487
4.486	459	4.512	487
4.537	485	4.563	488
4.588	509	4.613	487
4.639	528	4.664	487
4.690	545	4.715	488
4.740	557	4.766	487
4.791	564	4.816	487
4.842	565	4.867	487
4.893	560	4.917	487
4.943	550	4.969	488
4.994	535	5.019	487
5.044	517	5.070	487
5.096	495	5.120	487
5.146	471	5.171	487
5.197	446	5.221	488
5.247	421	5.273	488
5.298	398	5.323	488
5.348	378	5.374	488
5.400	362	5.424	487
5.450	350	5.475	487
5.501	344	5.526	486
5.551	342	5.577	486
5.602	347	5.627	487
