#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	472	0.051	553
0.076	511	0.102	594
0.126	548	0.152	630
0.178	577	0.203	660
0.228	600	0.253	683
0.279	613	0.305	695
0.329	617	0.355	698
0.380	611	0.406	693
0.431	597	0.456	677
0.482	573	0.507	654
0.532	542	0.558	622
0.583	507	0.609	585
0.633	466	0.659	543
0.684	425	0.710	500
0.736	383	0.760	458
0.786	345	0.811	417
0.837	309	0.862	382
0.887	281	0.913	352
0.938	261	0.963	331
0.989	249	1.014	319
1.040	245	1.064	317
1.090	250	1.116	322
1.141	265	1.166	339
1.191	289	1.217	364
1.243	319	1.267	396
1.293	354	1.318	432
1.344	393	1.369	474
1.394	434	1.420	516
1.445	475	1.470	559
1.495	513	1.521	598
1.547	548	1.571	632
1.597	574	1.622	661
1.648	596	1.673	681
1.698	607	1.724	692
1.749	610	1.774	695
1.800	604	1.825	689
1.851	588	1.875	672
1.901	566	1.927	648
1.952	536	1.977	616
2.002	501	2.028	578
2.054	462	2.078	538
2.104	421	2.129	494
2.155	382	2.180	453
2.205	344	2.231	414
2.256	311	2.281	380
2.307	284	2.332	350
2.358	264	2.382	331
2.408	253	2.433	321
2.459	250	2.484	320
2.509	257	2.535	327
2.560	272	2.585	345
2.611	294	2.636	369
2.662	325	2.686	402
2.712	359	2.738	439
2.763	398	2.788	480
2.813	437	2.839	522
2.865	477	2.889	563
2.915	513	2.940	602
2.966	546	2.991	634
3.016	572	3.042	662
3.067	592	3.093	681
3.118	602	3.143	690
3.169	605	3.194	692
3.219	598	3.244	685
3.270	582	3.296	667
3.320	559	3.346	641
3.371	530	3.397	609
3.422	495	3.447	572
3.473	458	3.498	531
3.523	418	3.549	489
3.574	380	3.600	449
3.624	344	3.650	410
3.676	313	3.701	377
3.726	287	3.751	350
3.777	268	3.803	332
3.827	258	3.853	323
3.878	256	3.904	323
3.929	262	3.954	332
3.980	278	4.005	350
4.030	301	4.055	376
4.081	330	4.107	408
4.131	364	4.157	445
4.182	402	4.208	485
4.233	440	4.258	527
4.284	478	4.309	568
4.334	513	4.360	605
4.385	545	4.411	637
4.435	570	4.461	663
4.487	588	4.512	679
4.537	598	4.562	688
4.588	599	4.614	688
4.638	592	4.664	679
4.689	576	4.715	661
4.740	554	4.765	635
4.791	525	4.816	602
4.841	491	4.867	564
4.892	454	4.918	525
4.942	416	4.968	484
4.993	378	5.019	444
5.044	343	5.069	406
5.095	314	5.120	375
5.145	289	5.171	350
5.196	272	5.222	334
5.246	263	5.272	327
5.298	261	5.323	326
5.348	268	5.373	338
5.399	284	5.425	356
5.449	306	5.475	383
5.500	335	5.526	415
5.551	369	5.576	452
5.602	405	5.627	492
5.652	442	5.678	533
5.703	479	5.729	572
5.753	513	5.779	608
5.804	543	5.830	638
5.855	567	5.880	663
5.906	584	5.931	678
5.956	593	5.982	685
6.007	594	6.033	684
6.057	587	6.083	674
6.109	571	6.134	655
6.159	549	6.184	628
6.210	520	6.236	596
6.260	487	6.286	558
6.311	451	6.337	519
6.362	414	6.387	478
6.413	378	6.438	440
6.463	344	6.489	404
6.514	315	6.540	374
6.564	291	6.590	350
6.615	275	6.641	335
6.666	266	6.691	329
6.717	265	6.742	330
6.767	272	6.793	343
6.818	288	6.844	362
6.868	311	6.894	389
6.920	339	6.945	422
6.970	373	6.995	459
7.021	408	7.047	498
7.071	444	7.097	538
7.122	480	7.148	576
7.173	513	7.198	610
7.224	542	7.249	640
7.274	565	7.300	663
7.325	581	7.351	677
7.375	589	7.401	682
7.427	590	7.452	681
7.477	582	7.502	668
7.528	566	7.553	649
7.578	544	7.604	622
7.629	515	7.655	588
7.679	483	7.705	551
7.731	448	7.756	513
7.781	412	7.806	474
7.832	377	7.858	437
7.882	344	7.908	402
7.933	316	7.959	373
7.984	293	8.009	351
8.035	278	8.060	338
8.085	270	8.111	333
8.136	269	8.162	336
8.186	277	8.212	349
8.238	293	8.263	369
8.288	315	8.313	397
8.339	343	8.364	429
8.389	375	8.415	465
8.440	410	8.466	504
8.490	446	8.516	543
8.542	480	8.567	580
8.592	514	8.617	613
8.643	541	8.669	641
8.693	563	8.719	662
8.744	578	8.770	675
8.795	586	8.820	679
8.846	586	8.871	676
8.896	577	8.922	663
