#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	645	13.230	327
13.256	650	13.281	327
13.306	647	13.331	335
13.357	635	13.383	350
13.407	615	13.433	371
13.458	590	13.484	397
13.509	560	13.534	428
13.560	526	13.585	459
13.610	491	13.636	491
13.661	456	13.687	522
13.711	423	13.737	549
13.763	395	13.788	572
13.813	372	13.838	589
13.864	356	13.890	599
13.914	347	13.940	603
13.965	346	13.991	598
14.016	352	14.041	587
14.067	367	14.092	569
14.117	389	14.142	546
14.168	416	14.194	518
14.218	448	14.244	488
14.269	482	14.295	455
14.320	517	14.345	424
14.371	550	14.396	395
14.421	581	14.447	370
14.472	607	14.498	351
14.522	628	14.548	337
14.574	640	14.599	330
14.624	646	14.649	331
14.675	643	14.701	338
14.725	632	14.751	354
14.776	613	14.802	375
14.827	589	14.852	400
14.878	560	14.903	429
14.928	527	14.953	460
14.979	493	15.005	491
15.029	458	15.055	521
15.080	427	15.106	548
15.131	398	15.156	570
15.182	376	15.207	585
15.233	359	15.258	596
15.283	351	15.309	599
15.334	348	15.359	595
15.385	356	15.410	585
15.436	369	15.460	567
15.486	390	15.512	544
15.537	416	15.562	518
15.587	446	15.613	487
15.639	480	15.663	456
15.689	514	15.714	425
15.740	547	15.764	397
15.790	576	15.816	373
15.841	603	15.866	353
15.891	622	15.917	340
15.943	635	15.967	333
15.993	640	16.018	334
16.044	639	16.069	341
16.094	628	16.120	357
16.145	611	16.170	376
16.196	588	16.221	402
16.247	559	16.271	430
16.297	528	16.323	461
16.348	494	16.373	491
16.398	461	16.424	521
16.450	429	16.474	547
16.500	402	16.525	569
16.551	379	16.576	585
16.601	363	16.627	595
16.652	354	16.677	598
16.702	352	16.728	593
16.754	357	16.778	582
16.804	371	16.829	565
16.855	390	16.880	543
16.905	416	16.931	516
16.956	446	16.981	487
17.007	477	17.032	456
17.058	511	17.082	426
17.108	543	17.134	399
17.159	573	17.184	375
17.209	598	17.235	356
17.261	618	17.285	343
17.311	631	17.336	336
17.362	636	17.387	337
17.412	635	17.438	344
17.463	625	17.488	359
17.513	609	17.539	379
17.565	586	17.589	403
17.615	559	17.640	432
17.666	528	17.691	461
17.716	496	17.742	492
17.767	463	17.792	521
17.818	433	17.843	547
17.869	405	17.893	567
17.919	383	17.945	583
17.970	367	17.995	593
18.020	358	18.046	595
18.072	355	18.096	591
18.122	361	18.147	581
18.173	373	18.198	564
